"author"	"published_at"	"updated_at"	"like_count"	"text"
"@poppygh5565"	"2026-03-08T12:01:23Z"	"2026-03-08T12:11:12Z"	"4"	"No me gustaba Bad Bunny, la verdad, pero reconozco que me ha encantado el espectáculo y su homenaje a América, los estadounidenses se creen que ellos son América y la riqueza de su historia se la cargaron o la metieron en reservas, América es un continente no un país!  Solo puntualizar que latinos somos los españoles, portugueses, franceses e italianos porque nuestro idioma viene del latín, nuestros hermanos al otro lado del charco son latinoamericanos, olé! Aunque en EEUU llaman latino a los que hablamos español, de España o América, así terminan antes y si piensan que es despectivo que aprendan que es riqueza de cultura, historia, diversidad! Saludos desde España"
"@JoséEliamCabreraReyes"	"2026-03-08T11:58:32Z"	"2026-03-08T11:58:32Z"	"4"	"Bad bunny siempre va triunfar"
"@Aliahme2d"	"2026-03-08T11:57:10Z"	"2026-03-08T11:57:10Z"	"2"	"🪩 🕺🏿"
"@BadBunny-s9j"	"2026-03-08T11:54:34Z"	"2026-03-08T14:06:11Z"	"3"	"Thank you so much You can always reach out to me  Details on my bio"
"@chrischrissycat1"	"2026-03-08T11:32:45Z"	"2026-03-08T11:32:45Z"	"3"	"Half the charts since about 2017 have had non-English hits.  I think people who cant cope with this are just showing their age"
"@Enikhev"	"2026-03-08T11:18:24Z"	"2026-03-08T11:18:24Z"	"4"	"Bad bunny is so cool ❤"
"@maremagnum3900"	"2026-03-08T11:10:57Z"	"2026-03-08T11:10:57Z"	"3"	"Maravilloso el mejor antidepresivo, ¡¡¡¡Viva la vida!!!!"
"@englishwithme2222"	"2026-03-08T10:19:34Z"	"2026-03-08T10:19:34Z"	"2"	"<a href=""https://www.youtube.com/watch?v=G6FuWd4wNd8&amp;t=111"">1:51</a> Is that Cardi B?"
"@joesinness9522"	"2026-03-08T10:18:35Z"	"2026-03-08T10:18:35Z"	"3"	"this is the most joyful thing ive seen in a long while. im so glad i was able to have the experience of puerto rico years ago."
"@elianefollaca365"	"2026-03-08T10:13:26Z"	"2026-03-08T10:16:48Z"	"6"	"I want to give &quot;thumbs up&quot;, for Bad Bunnys half time show, over and over and over. It was absolutely incredible, warm and very special to watch history in the making  <a href=""UCkszU2WH9gy1mb0dV-11UJg/m8MfY4jbFsWJhL0PyouA2Ak""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/m8MfY4jbFsWJhL0PyouA2Ak""></a><a href=""UCkszU2WH9gy1mb0dV-11UJg/m8MfY4jbFsWJhL0PyouA2Ak""></a>"
"@ANDRESAGUDELOOCHOA"	"2026-03-08T09:46:35Z"	"2026-03-08T09:46:35Z"	"2"	"Que puta mierda canto Ricky Martín ahí? Se tiró el show"
"@marcoquiroga8111"	"2026-03-08T09:17:50Z"	"2026-03-08T09:17:50Z"	"2"	"Quien sigue?? Laura leoe?? guicho Domingipuez???"
"@Bydlimydli"	"2026-03-08T09:06:35Z"	"2026-03-08T09:06:35Z"	"1"	"What a joke xD"
"@joshuacruz4244"	"2026-03-08T09:02:11Z"	"2026-03-08T09:03:09Z"	"5"	"🇵🇷 🇵🇷 🇵🇷 this should let the world know how proud Puerto Rican people are. Cant take a Puerto Ricans pride from him."
"@geraldschulenburg8507"	"2026-03-08T08:25:25Z"	"2026-03-08T08:25:25Z"	"1"	"I just wanna kiss my fish  Drive my truck,"
"@ÁngelVelascoMASOT-t8f"	"2026-03-08T08:24:02Z"	"2026-03-08T08:24:02Z"	"6"	"Stronger together , Juntos mas fuertes  America is a inclusive culture of inmigrants  Un gran mensaje de Bad Bunny  Love is stronger than hate"
"@user-xq5cj5qv9l"	"2026-03-08T08:16:18Z"	"2026-03-08T08:19:36Z"	"4"	"レディーガガ様よりも、リッキー・マーティンが出てきたことに驚いたよ！プエルト・リコが主役のハーフタイムショーできたのがすごい！"
"@OG.Stangs"	"2026-03-08T07:41:48Z"	"2026-03-08T07:44:01Z"	"4"	"Caucasian/ hateful Americans need to smile and stop hating and being influenced by dumb f***s. Get in tune with the founding fathers and Christ. And be thankful that AMERICAN CITIZENS  exist that are and speak the Roman descendent romance language of Spanish 💯 🇵🇷 🇺🇸  ❤️"
"@alfredocortesrito"	"2026-03-08T07:28:11Z"	"2026-03-08T07:28:11Z"	"2"	"8th March. 8 days after second night show in Sydney. Im back here...  Brisbane, Australia"
"@GavinAbyasa"	"2026-03-08T07:17:40Z"	"2026-03-08T07:17:40Z"	"2"	"Can you name all the songs he performed here, Im a new fan of him.."
